Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
2ar60jn,"Identify and/or construct database","choices ?\nsuperbase\nmongodb\nad hoc ""sea of json"" (data lake)\n\nDiscuss with Paoulo",to do,1649660612037,"4/11/2022, 9:03:32 AM GMT+2",1651802400000,"5/6/2022, 4:00:00 AM GMT+2",,"",null,"[]","[Doctor IT]","[]",null,"PROTOTYPE DEVELOPMENT","Technology","PhXSpace","","","{}","[{""text"":""@Colleen Fogarty Draper : who is consumming the data, a human or a bot ?\n"",""by"":""michelc@drit.ml"",""assigned"":false,""date"":""4/11/2022, 3:30:30 PM GMT+2"",""resolved"":""N/A""},{""text"":""question what is this database for (survey and questionaire data) ?\n"",""by"":""michelc@drit.ml"",""assigned"":false,""date"":""4/11/2022, 3:29:56 PM GMT+2"",""resolved"":""N/A""}]","0", "",,NaN,
2886ukw,"Collaborate with Fabrice on storytelling","null",to do,1647026869349,"3/11/2022, 8:27:49 PM GMT+1",,"",,"",null,"[]","[Colleen Fogarty Draper,Arianna Bianchi]","[]",null,"FUNDRAISING","Finances","PhXSpace","","","{}","[]","0", "",,NaN,
237vgbe,"Finalize AI blog post","",complete,1642617819474,"1/19/2022, 7:43:39 PM GMT+1",,"",,"",null,"[]","[]","[]",null,"Project (Management)","PhenomX (internal)","PhXSpace","","","{}","[]","0", "",,NaN,
2ar60gy,"Check feasibility of FIgma into Bravo","null",to do,1649660598941,"4/11/2022, 9:03:18 AM GMT+2",,"",,"",null,"[]","[Colleen Fogarty Draper]","[]",null,"PROTOTYPE DEVELOPMENT","Technology","PhXSpace","","","{}","[]","0", "",,NaN,
290t5te,"cleanup slack channel #gitjournal","please cleanup the channel #gitjournal ( https://phenomxhealth.slack.com/archives/C0385NH8GSJ ) thanks",to do,1650910891810,"4/25/2022, 8:21:31 PM GMT+2",1651456800000,"5/2/2022, 4:00:00 AM GMT+2",,"",null,"[{""title"":""image.png"",""url"":""https://t24431220.p.clickup-attachments.com/t24431220/3bd383a5-f22d-4d23-acf2-0a4f4b215c23/image.png""}]","[Colleen Fogarty Draper]","[]",null,"Tasks","PhenomX (internal)","PhXSpace","","","{}","[]","0", "",,NaN,
26u7vj2,"Startup days pitching battle https://www.startupdays.ch/apply-pitching-battle/","null",to do,1645657191117,"2/23/2022, 11:59:51 PM GMT+1",1650592800000,"4/22/2022, 4:00:00 AM GMT+2",,"",null,"[]","[]","[]",null,"List","Accelerator and Investor Resources","PhXSpace","","","{}","[]","0", "",,NaN,
2ar60z4,"Add survey button","null",publish,1649660767667,"4/11/2022, 9:06:07 AM GMT+2",1649642400000,"4/11/2022, 4:00:00 AM GMT+2",,"",null,"[]","[Colleen Fogarty Draper]","[]",null,"Websites","Blog, Pods & Website","PhXSpace","","","{}","[]","0", "",,NaN,
237vrq3,"How Artificial Intelligence (AI) Fits into the New Women's Health & Wellness Paradigm","null",publish,1642621735029,"1/19/2022, 8:48:55 PM GMT+1",,"",,"",null,"[]","[]","[]",null,"Blog Brainstorms","Blog, Pods & Website","PhXSpace","","","{}","[]","0", "",,NaN,
2886u7r,"Conduct early interviews for feedback","null",to do,1647026137789,"3/11/2022, 8:15:37 PM GMT+1",,"",,"",null,"[]","[Colleen Fogarty Draper,Arianna Bianchi]","[]",null,"CONSUMER RESEARCH","Market & Consumer Research","PhXSpace","","","{}","[]","0", "",,NaN,
256t8cm,"Assess readiness for Tech4Eva growth startup phase","null",complete,1644332272428,"2/8/2022, 3:57:52 PM GMT+1",1646017200000,"2/28/2022, 4:00:00 AM GMT+1",,"",null,"[]","[]","[]",null,"List","Accelerator and Investor Resources","PhXSpace","","","{}","[]","0", "",,NaN,
290tk91,"figma mockup","null",complete,1650913334993,"4/25/2022, 9:02:14 PM GMT+2",,"",,"",null,"[]","[Colleen Fogarty Draper]","[]",null,"PROTOTYPE DEVELOPMENT","Technology","PhXSpace","","","{}","[]","0", "",,NaN,
2ajmt76,"Complete blog posting","null",publish,1649495660073,"4/9/2022, 11:14:20 AM GMT+2",1649296800000,"4/7/2022, 4:00:00 AM GMT+2",,"",237vrma,"[]","[Colleen Fogarty Draper]","[]",null,"Blog Brainstorms","Blog, Pods & Website","PhXSpace","","","{}","[]","0", "",,NaN,
2aranmc,"deploy IPFS + Gazelle server on Heroku (or Infomaniak or heliohost ?)","null",to do,1649693090870,"4/11/2022, 6:04:50 PM GMT+2",,"",,"",null,"[]","[]","[]",null,"DevOps","Technology","PhXSpace","","","{}","[]","0", "",,NaN,
2886uf8,"File Trademarks - US (ASAP) and CH","file for \nwordmark: ""phenomx"" ?\nwordmark: ""phenomxhealth""\nwordmark: ""phenomx4her"" (application name?)\ndrawingmark: logo + tagline + fonts + colors (see phx-branding.jpg file)\nservicemark: ?",in progress,1647026503227,"3/11/2022, 8:21:43 PM GMT+1",1651024800000,"4/27/2022, 4:00:00 AM GMT+2",1648864800000,"4/2/2022, 4:00:00 AM GMT+2",null,"[{""title"":""phx-branding.jpg"",""url"":""https://t24431220.p.clickup-attachments.com/t24431220/f699686b-d854-4a57-9f18-0f5c96c2873d/phx-branding.jpg""}]","[Arianna Bianchi,Colleen Fogarty Draper]","[]",null,"Project (Management)","PhenomX (internal)","PhXSpace","","","{""Checklist"":[""compile list of categories"",""provide drawing mark"",""file in CH"",""file in US""]}","[{""text"":""@Colleen Fogarty Draper  can you help to speed up the US side?\ndon't we have a deadline of 4/27 ?\n"",""by"":""michelc@drit.ml"",""assigned"":false,""date"":""4/25/2022, 8:38:32 PM GMT+2"",""resolved"":""N/A""}]","0", "",,NaN,
2886uqy,"WEBSITE","null",Open,1647027131084,"3/11/2022, 8:32:11 PM GMT+1",,"",,"",null,"[]","[]","[]",null,"Websites","Blog, Pods & Website","PhXSpace","","","{}","[]","0", "",,NaN,
2ar8zkt,"Strategize Linkedin postings","null",Open,1649681599020,"4/11/2022, 2:53:19 PM GMT+2",,"",,"",null,"[]","[]","[]",null,"PLAN","Social Media","PhXSpace","","","{}","[]","0", "",,NaN,
2886ure,"Add mission vision page","null",Open,1647027184159,"3/11/2022, 8:33:04 PM GMT+1",,"",,"",null,"[]","[Colleen Fogarty Draper]","[]",null,"Websites","Blog, Pods & Website","PhXSpace","","","{}","[]","0", "",,NaN,
290txx8,"simple weekly report","A valuable team is a team who's work is predictable : a simple reporting to align each other helps a lot.\n\n\nPlease fill up the document  <--- HERE\nlocated in\n\ndo it on a weekly basis (before the Monday Executive Team Meeting)\n\nThanks\n+Michel",to do,1650915377366,"4/25/2022, 9:36:17 PM GMT+2",1651284000000,"4/30/2022, 4:00:00 AM GMT+2",,"",null,"[]","[Colleen Fogarty Draper,Doctor IT,Arianna Bianchi]","[]",null,"List","Executive Team Meetings","PhXSpace","","","{}","[]","0", "",,NaN,
2arandx,"create multi-custodial key pair to enable frictionless login for users","null",to do,1649692953580,"4/11/2022, 6:02:33 PM GMT+2",1649988000000,"4/15/2022, 4:00:00 AM GMT+2",1649642400000,"4/11/2022, 4:00:00 AM GMT+2",null,"[]","[Doctor IT]","[]",null,"TECHNOLOGY DEVELOPMENT","Technology","PhXSpace","","","{}","[]","0", "",,NaN,
24a785z,"Format database and document system for data entry (on-going)","null",to do,1643623866073,"1/31/2022, 11:11:06 AM GMT+1",,"",,"",null,"[]","[]","[]",null,"Engine","Recommendation Engine Content","PhXSpace","","","{}","[]","0", "",,NaN,
237vgct,"deploy phenomxhealth.ch website","null",complete,1642617864584,"1/19/2022, 7:44:24 PM GMT+1",,"",,"",null,"[]","[]","[]",null,"Project (Management)","PhenomX (internal)","PhXSpace","","","{}","[]","0", "",,NaN,
